Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
10794629388,1280,74264,,,,,,,,,,0.000,25.000,Device,Device,NVIDIA GeForce RTX 5090 (0),1,,214,[CUDA memcpy Device-to-Device]
10794789932,1408,74275,,,,,,,,,,0.000,22.727,Device,Pinned,NVIDIA GeForce RTX 5090 (0),1,,15,[CUDA memcpy Device-to-Host]
10794970892,256,74297,,,,,,,,,,0.000,93.750,Pinned,Device,NVIDIA GeForce RTX 5090 (0),1,,14,[CUDA memcpy Host-to-Device]
10795984619,704,74611,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_multiply_fusion_5
10795986859,512,74611,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_multiply_fusion
10795987435,1152,74611,1,1,1,1,1,1,44,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_multiply_fusion_4
10795988683,3360,74611,1,1,1,1,1,1,44,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_multiply_fusion_1
10795992107,3168,74611,1,1,1,1,1,1,44,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_multiply_fusion_2
10795995339,3136,74611,1,1,1,1,1,1,44,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_multiply_fusion_3
10795998571,608,74611,1,1,1,1,1,1,26,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_multiply_fusion_8
10795999275,608,74611,1,1,1,1,1,1,26,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_multiply_fusion_7
10795999947,640,74611,1,1,1,1,1,1,26,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_multiply_fusion_6
10796000651,864,74611,1,1,1,1,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,input_concatenate_fusion_3
10796001579,832,74611,1,1,1,2,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,input_concatenate_fusion_2
10796002507,1056,74611,1,1,1,4,1,1,28,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,input_concatenate_fusion_1
10796003627,928,74611,1,1,1,16,1,1,20,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_16
10796004619,928,74611,1,1,1,32,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_15
10796005611,768,74611,1,1,1,64,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_14
10796006443,896,74611,1,1,1,128,1,1,20,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_13
10796007403,928,74611,4,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_12
10796008363,864,74611,8,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_11
10796009259,896,74611,16,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_10
10796010219,896,74611,32,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_9
10796011179,896,74611,64,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_8
10796012139,928,74611,128,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_7
10796013131,992,74611,256,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_6
10796014155,1216,74611,512,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_5
10796015403,1760,74611,1024,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_4
10796017195,2816,74611,2048,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_3
10796020043,4992,74611,4096,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_2
10796025067,9664,74611,8192,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion_1
10796034763,19424,74611,16384,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,loop_concatenate_fusion
10796054219,829920,74611,32768,1,1,128,1,1,42,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,215,input_concatenate_fusion
10796942315,256,74622,,,,,,,,,,0.000,140.625,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10796946187,288,74624,,,,,,,,,,0.000,430.556,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10796950315,256,74626,,,,,,,,,,0.000,625.000,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10797110922,1811167,74709,49152,1,1,128,1,1,40,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,216,loop_slice_fusion_1
10798922121,864,74709,1,1,1,3,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,216,loop_broadcast_fusion
10798922697,531967,74709,49152,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,216,loop_slice_fusion
10799454665,2607133,74709,9216,1,1,256,1,1,56,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,216,input_reduce_fusion
10802061799,4896,74709,5,1,1,256,1,1,40,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,216,wrapped_reduce
10802066663,1003839,74709,2048,1,1,1024,1,1,60,0.025,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,216,input_reduce_fusion_1
10803070534,672,74709,1,1,1,40,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,216,wrapped_broadcast
10803071270,219456,74709,1,1,1,64,1,1,38,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,216,input_scatter_fusion
10803419366,704,74720,,,,,,,,,,0.001,1363.636,Device,Pinned,NVIDIA GeForce RTX 5090 (0),1,,18,[CUDA memcpy Device-to-Host]
10803596390,256,74742,,,,,,,,,,0.000,93.750,Pinned,Device,NVIDIA GeForce RTX 5090 (0),1,,14,[CUDA memcpy Host-to-Device]
10803676934,256,74760,,,,,,,,,,0.000,93.750,Pinned,Device,NVIDIA GeForce RTX 5090 (0),1,,14,[CUDA memcpy Host-to-Device]
10804264325,2111102,75065,16384,1,1,128,1,1,164,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,loop_add_slice_fusion
10806375428,736,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_10
10806376228,864,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_11
10806377156,768,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_12
10806377956,832,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_13
10806378852,640,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_14
10806379524,832,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_15
10806380420,608,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_16
10806381092,576,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_17
10806381732,608,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_18
10806382372,1638879,75065,16384,1,1,128,1,1,118,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,loop_add_fusion_3
10808021283,864,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice
10808022211,800,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_1
10808023075,800,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_2
10808023939,576,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_3
10808024579,832,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_4
10808025475,800,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_5
10808026339,832,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_6
10808027235,640,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_7
10808027939,768,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_8
10808028771,608,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,wrapped_slice_9
10808029443,825375,75065,65536,1,1,128,1,1,38,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,loop_add_fusion
10808854850,1827551,75065,49152,1,1,128,1,1,40,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,loop_slice_fusion_1
10810682465,1030687,75065,65536,1,1,128,1,1,40,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,loop_add_fusion_2
10811713216,768,75065,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,loop_multiply_fusion
10811714048,704,75065,1,1,1,1,1,1,26,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,loop_multiply_fusion_1
10811714816,704,75065,1,1,1,1,1,1,26,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,loop_multiply_fusion_2
10811715552,517088,75065,49152,1,1,128,1,1,30,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,loop_slice_fusion
10812232672,2228894,75065,16384,1,1,128,1,1,146,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,217,loop_add_fusion_1
10815686141,288,75078,,,,,,,,,,0.000,1333.333,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10815690845,256,75080,,,,,,,,,,0.000,687.500,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10815694877,256,75082,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10815698621,256,75084,,,,,,,,,,0.000,1500.000,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10815705757,256,75086,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10817021980,232992,75310,32768,1,1,128,1,1,50,0.025,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,wrapped_transpose
10817255004,4757596,75310,8192,1,1,128,1,1,255,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,sponge_hash_1
10822012601,716127,75310,2048,1,1,128,1,1,255,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,sparse_poseidon_10
10822728760,5344,75310,2048,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,loop_slice_fusion_9
10822734136,272927,75310,512,1,1,128,1,1,255,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,sparse_poseidon_11
10823007064,1760,75310,512,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,loop_slice_fusion_8
10823008600,157536,75310,128,1,1,128,1,1,255,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,sparse_poseidon_12
10823165912,832,75310,512,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,loop_slice_fusion_7
10823166840,158303,75310,32,1,1,128,1,1,255,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,sparse_poseidon_13
10823325144,672,75310,128,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,loop_slice_fusion_6
10823325880,159551,75310,8,1,1,128,1,1,255,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,sparse_poseidon_14
10823485432,672,75310,32,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,loop_slice_fusion_5
10823486168,159615,75310,2,1,1,128,1,1,255,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,sparse_poseidon_15
10823645784,736,75310,8,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,loop_slice_fusion_4
10823646552,160352,75310,1,1,1,128,1,1,254,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,sparse_poseidon_16
10823806968,832,75310,2,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,loop_slice_fusion_3
10823807832,159712,75310,1,1,1,128,1,1,254,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,sparse_poseidon_17
10823967576,672,75310,1,1,1,64,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,loop_slice_fusion_2
10823968312,160895,75310,1,1,1,128,1,1,254,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,sparse_poseidon_18
10824129239,640,75310,1,1,1,16,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,loop_slice_fusion_1
10824129911,159744,75310,1,1,1,128,1,1,254,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,sparse_poseidon_19
10824290103,448,75310,1,1,1,4,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,218,loop_slice_fusion
10824290743,608,75310,,,,,,,,,,0.000,52.632,Device,Device,NVIDIA GeForce RTX 5090 (0),1,,218,[CUDA memcpy Device-to-Device]
10824375959,1312,75321,,,,,,,,,,0.000,24.390,Device,Pinned,NVIDIA GeForce RTX 5090 (0),1,,17,[CUDA memcpy Device-to-Host]
10824476503,288,75343,,,,,,,,,,0.000,83.333,Pinned,Device,NVIDIA GeForce RTX 5090 (0),1,,14,[CUDA memcpy Host-to-Device]
10825025559,246528,75588,32768,1,1,128,1,1,50,0.025,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,wrapped_transpose
10825272119,363902,75588,6144,1,1,128,1,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_slice_fusion
10825636022,261536,75588,6144,1,1,128,1,1,98,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_multiply_subtract_fusion
10825897494,259136,75588,49152,1,1,128,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_transpose_fusion
10826156662,1024,75588,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_multiply_fusion
10826157750,960,75588,1,1,1,1,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,input_concatenate_fusion_2
10826158774,928,75588,1,1,1,2,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,input_concatenate_fusion_1
10826159766,1216,75588,1,1,1,4,1,1,28,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,input_concatenate_fusion
10826161046,1120,75588,1,1,1,16,1,1,20,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_13
10826162230,928,75588,1,1,1,32,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_12
10826163222,992,75588,1,1,1,64,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_11
10826164278,992,75588,1,1,1,128,1,1,20,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_10
10826165334,1024,75588,2,1,1,128,1,1,20,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_9
10826166390,1152,75588,4,1,1,128,1,1,20,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_8
10826167606,1120,75588,8,1,1,128,1,1,20,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_7
10826168790,1088,75588,16,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_6
10826169942,1184,75588,32,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_5
10826171190,1152,75588,64,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_4
10826172406,1280,75588,1,1,1,1,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_multiply_fusion_1
10826173750,1184,75588,256,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_3
10826174966,1056,75588,512,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_2
10826176086,1440,75588,1024,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion_1
10826177622,188288,75588,8192,1,1,128,1,1,46,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,219,loop_concatenate_fusion
10827489397,288,75601,,,,,,,,,,0.000,1333.333,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10827494133,256,75603,,,,,,,,,,0.000,687.500,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10827498485,256,75605,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10827501589,288,75607,,,,,,,,,,0.000,1333.333,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10827505013,288,75609,,,,,,,,,,0.000,444.444,Pageable,Device,NVIDIA GeForce RTX 5090 (0),1,,13,[CUDA memcpy Host-to-Device]
10828683444,15584,75813,4096,1,1,128,1,1,50,0.025,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,220,wrapped_transpose
10828699092,776831,75813,1024,1,1,128,1,1,255,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,220,sponge_hash_1
10829475924,160384,75813,256,1,1,128,1,1,255,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,220,sparse_poseidon_9
10829636244,1344,75813,1024,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,220,loop_slice_fusion_7
10829637684,156670,75813,64,1,1,128,1,1,255,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,220,sparse_poseidon_10
10829794355,736,75813,256,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,220,loop_slice_fusion_6
