NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:commit1,PushPop,366825,366825,2,2,17473379,8736689.5,8736689.5,8718290,8755089,26020.8,sponge_hash_1
:commit1,PushPop,366825,366825,2,2,4729463,2364731.5,2364731.5,2362460,2367003,3212.4,sparse_poseidon_11
:commit1,PushPop,366825,366825,2,2,1408221,704110.5,704110.5,702654,705567,2059.8,sparse_poseidon_12
:commit1,PushPop,366825,366825,2,2,1019485,509742.5,509742.5,509439,510046,429.2,ntt_pass_fusion_2
:commit1,PushPop,366825,366825,2,2,830206,415103.0,415103.0,403871,426335,15884.4,ntt_pass_fusion_3
:commit1,PushPop,366825,366825,2,2,542398,271199.0,271199.0,268959,273439,3167.8,sparse_poseidon_13
:commit1,PushPop,366825,366825,2,2,473504,236752.0,236752.0,235392,238112,1923.3,loop_reshape_fusion
:commit1,PushPop,366825,366825,2,2,466623,233311.5,233311.5,232576,234047,1040.2,ntt_pass_fusion_1
:commit1,PushPop,366825,366825,2,2,442335,221167.5,221167.5,220352,221983,1153.3,loop_transpose_fusion_1
:commit1,PushPop,366825,366825,2,2,393632,196816.0,196816.0,196352,197280,656.2,loop_transpose_fusion
:commit1,PushPop,366825,366825,2,2,319199,159599.5,159599.5,159552,159647,67.2,sparse_poseidon_18
:commit1,PushPop,366825,366825,2,2,318560,159280.0,159280.0,159232,159328,67.9,sparse_poseidon_20
:commit1,PushPop,366825,366825,2,2,317727,158863.5,158863.5,158399,159328,656.9,sparse_poseidon_19
:commit1,PushPop,366825,366825,2,2,317535,158767.5,158767.5,157952,159583,1153.3,sparse_poseidon_21
:commit1,PushPop,366825,366825,2,2,317085,158542.5,158542.5,158526,158559,23.3,sparse_poseidon_17
:commit1,PushPop,366825,366825,2,2,316351,158175.5,158175.5,158079,158272,136.5,sparse_poseidon_16
:commit1,PushPop,366825,366825,2,2,315294,157647.0,157647.0,157472,157822,247.5,sparse_poseidon_15
:commit1,PushPop,366825,366825,2,2,314112,157056.0,157056.0,156704,157408,497.8,sparse_poseidon_14
:commit1,PushPop,366825,366825,2,2,285056,142528.0,142528.0,141824,143232,995.6,loop_reshape_fusion_2
:commit1,PushPop,366825,366825,2,2,254591,127295.5,127295.5,126751,127840,770.0,ntt_pass_fusion
:commit1,PushPop,366825,366825,2,2,222912,111456.0,111456.0,110336,112576,1583.9,loop_reshape_fusion_1
:commit1,PushPop,366825,366825,2,2,75039,37519.5,37519.5,37151,37888,521.1,loop_slice_fusion_10
:commit1,PushPop,366825,366825,2,2,10655,5327.5,5327.5,5248,5407,112.4,loop_slice_fusion_9
:commit1,PushPop,366825,366825,2,2,5344,2672.0,2672.0,2624,2720,67.9,loop_concatenate_fusion
:commit1,PushPop,366825,366825,2,2,3584,1792.0,1792.0,1696,1888,135.8,loop_concatenate_fusion_1
:commit1,PushPop,366825,366825,2,2,3424,1712.0,1712.0,1696,1728,22.6,loop_slice_fusion_8
:commit1,PushPop,366825,366825,2,2,3264,1632.0,1632.0,1504,1760,181.0,loop_multiply_fusion_1
:commit1,PushPop,366825,366825,2,2,2751,1375.5,1375.5,1312,1439,89.8,loop_concatenate_fusion_2
:commit1,PushPop,366825,366825,2,2,2368,1184.0,1184.0,1152,1216,45.3,loop_concatenate_fusion_4
:commit1,PushPop,366825,366825,2,2,2336,1168.0,1168.0,1088,1248,113.1,loop_concatenate_fusion_3
:commit1,PushPop,366825,366825,2,2,2272,1136.0,1136.0,1120,1152,22.6,input_concatenate_fusion
:commit1,PushPop,366825,366825,2,2,2272,1136.0,1136.0,1120,1152,22.6,loop_concatenate_fusion_5
:commit1,PushPop,366825,366825,2,2,2208,1104.0,1104.0,1088,1120,22.6,loop_concatenate_fusion_6
:commit1,PushPop,366825,366825,2,2,2176,1088.0,1088.0,1056,1120,45.3,loop_concatenate_fusion_7
:commit1,PushPop,366825,366825,2,2,2112,1056.0,1056.0,992,1120,90.5,loop_concatenate_fusion_8
:commit1,PushPop,366825,366825,2,2,1952,976.0,976.0,832,1120,203.6,input_concatenate_fusion_2
:commit1,PushPop,366825,366825,2,2,1920,960.0,960.0,928,992,45.3,input_concatenate_fusion_1
:commit1,PushPop,366825,366825,2,2,1920,960.0,960.0,864,1056,135.8,loop_concatenate_fusion_9
